Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC07_001,Hiển thị mặc định trang Danh sách ứng viên,Kiểm thử chức năng / Giao diện,Kiểm thử Use Case,"Đã login, CSDL có 15 ứng viên",1. Vào menu Danh sách ứng viên; 2. Quan sát các cột và phân trang,N/A,"Bảng hiển thị đủ 5 cột tóm tắt, phân trang 10/trang ở cuối bảng",P1 - Cao
TC_UC07_002,Chuyển tiếp giữa các trang,Kiểm thử chức năng,Phân tích giá trị biên / Phân vùng tương đương,CSDL có 25 hồ sơ (3 trang),1. Tại trang 1 bấm Next (>); 2. Quan sát trang 2; 3. Bấm Previous (<),N/A,"Chuyển trang chính xác 11-20, quay lại đúng 1-10, nút active đúng trang",P2 - Trung bình
TC_UC07_003,Trạng thái nút phân trang tại trang đầu và trang cuối,Kiểm thử biên / Giao diện,Phân tích giá trị biên,Đang ở trang 1 hoặc trang cuối,1. Kiểm tra nút Previous ở trang 1; 2. Chuyển sang trang cuối kiểm tra nút Next,N/A,"Previous disable ở trang 1, Next disable ở trang cuối cùng",P3 - Thấp
TC_UC07_004,Lọc ứng viên theo Kỹ năng đơn lẻ (ReactJS),Kiểm thử chức năng,Phân vùng tương đương_SK1,"CSDL có 10 ứng viên, 4 người có ReactJS",1. Nhập ReactJS vào ô Kỹ năng; 2. Bấm Áp dụng,Kỹ năng: ReactJS,"Hiển thị đúng 4 ứng viên có ReactJS, ẩn các ứng viên còn lại",P1 - Cao
TC_UC07_005,Lọc ứng viên theo Số năm kinh nghiệm (> 2 năm),Kiểm thử chức năng / Biên,Phân vùng tương đương_EX3,"CSDL có ứng viên 1, 2, 3, 5 năm exp",1. Chọn kinh nghiệm > 2 năm; 2. Bấm Áp dụng,Exp: > 2 năm,"Chỉ hiển thị ứng viên thỏa mãn, loại bỏ ứng viên 1 năm kinh nghiệm",P1 - Cao
TC_UC07_006,Lọc ứng viên theo Trạng thái hồ sơ (Mới),Kiểm thử chức năng,Phân vùng tương đương_ST1,CSDL có các trạng thái khác nhau,1. Chọn Trạng thái: Mới; 2. Bấm Áp dụng,Trạng thái: Mới,Bảng chỉ hiển thị các ứng viên có cột Trạng thái là Mới,P2 - Trung bình
TC_UC07_007,Kết hợp lọc đồng thời nhiều tiêu chí (Kỹ năng + Exp + Trạng thái),Kiểm thử chức năng / Tìm kiếm nâng cao,Bảng quyết định,CSDL có nhiều ứng viên,"1. Nhập Kỹ năng Node.js, Exp > 2 năm, Trạng thái Phù hợp; 2. Bấm Áp dụng","Node.js, > 2 năm, Phù hợp",Hiển thị các ứng viên thỏa mãn đồng thời cả 3 điều kiện logic AND,P1 - Cao
TC_UC07_008,Mở giao diện Chi tiết hồ sơ ứng viên từ danh sách,Kiểm thử chức năng,Kiểm thử Use Case,Bảng danh sách đang hiển thị,1. Click vào tên ứng viên Nguyễn Văn A; 2. Quan sát giao diện mở ra,Ứng viên: Nguyễn Văn A,"Mở modal/trang chi tiết đủ: Thông tin cá nhân, Kinh nghiệm, Học vấn, Kỹ năng, Chứng chỉ",P1 - Cao
TC_UC07_009,Tự động cập nhật trạng thái từ Mới sang Đã xem,Chuyển trạng thái,Chuyển trạng thái,Ứng viên đang ở trạng thái Mới,1. Click mở chi tiết hồ sơ; 2. Đóng và kiểm tra lại danh sách,Ứng viên trạng thái Mới,Trạng thái ứng viên tự động chuyển từ Mới sang Đã xem trong CSDL và UI,P2 - Trung bình
TC_UC07_010,Kích hoạt phân tích AI thành công với JD đã chọn,Kiểm thử chức năng / Trí tuệ nhân tạo,Kiểm thử Use Case,Mở chi tiết hồ sơ; Hệ thống có sẵn JD,1. Chọn JD Senior Backend; 2. Bấm Phân tích AI; 3. Chờ kết quả < 10s,JD: Senior Backend,"Hiển thị đủ 4 mục: Matching Score (%), Summary, Gap Analysis, Red Flags",P1 - Cao
TC_UC07_011,Kiểm tra tính chính xác của phần Gap Analysis,Kiểm thử chức năng / Logic,Kiểm thử Use Case,"JD yêu cầu AWS, PostgreSQL; CV ứng viên thiếu",1. Xem mục Gap Analysis sau khi AI phân tích,JD vs CV,"Liệt kê chính xác các kỹ năng ứng viên còn thiếu so với JD: AWS, PostgreSQL",P2 - Trung bình
TC_UC07_012,Kiểm tra cảnh báo rủi ro từ AI,Functional / Edge Case,Đoán lỗi,CV nhảy 4 công ty trong 1 năm,1. Bấm Phân tích AI; 2. Xem mục Red Flags,CV nhảy việc nhiều,Hiển thị cảnh báo rủi ro: Tần suất thay đổi công việc cao trong thời gian ngắn,P2 - Trung bình
TC_UC07_013,Nhấn nút Lưu kết quả phân tích AI,Kiểm thử chức năng / Lưu trữ CSDL,Kiểm thử Use Case,AI vừa trả kết quả phân tích,1. Nhấn nút Lưu kết quả; 2. Đóng và mở lại hồ sơ,Kết quả AI vừa chạy,"Thông báo Lưu thành công, dữ liệu điểm số và gap được lưu vào CSDL, mở lại vẫn còn",P1 - Cao
TC_UC07_014,Cập nhật thủ công trạng thái ứng viên sau phân tích,Kiểm thử chức năng,Chuyển trạng thái,Đang xem chi tiết hồ sơ sau phân tích,1. Chọn trạng thái Phỏng vấn; 2. Bấm Cập nhật trạng thái,Trạng thái: Phỏng vấn,"Thông báo Cập nhật thành công, trạng thái ứng viên đổi thành Phỏng vấn trong CSDL",P1 - Cao
TC_UC07_015,[3a] Xóa bộ lọc và reset danh sách ứng viên,Kiểm thử chức năng,Kiểm thử Use Case 3a,Bộ lọc đang áp dụng có kết quả lọc,1. Nhấn nút Xóa bộ lọc,N/A,"Các ô nhập lọc được reset về rỗng, bảng danh sách tải lại toàn bộ hồ sơ ban đầu",P2 - Trung bình
TC_UC07_016,[4a] Xem nhanh thông tin ứng viên bằng thao tác rê chuột,Kiểm thử giao diện / Chức năng,Kiểm thử Use Case 4a,Tại bảng danh sách ứng viên,1. Rê chuột vào avatar ứng viên trong 0.5s,Avatar ứng viên,"Hiển thị Quick Card nổi gồm: Tên, Chức danh hiện tại, Link CV gốc; rê ra ngoài tự ẩn",P2 - Trung bình
TC_UC07_017,[4a] Nhấp vào Link CV gốc từ Quick Card,Kiểm thử liên kết,Kiểm thử Use Case 4a,Quick Card đang hiển thị,1. Click vào link Link CV gốc trên popup,Link CV gốc,Mở tab mới hiển thị file CV gốc (PDF/Ảnh) lưu trong hệ thống,P3 - Thấp
TC_UC07_018,[8a] Xuất báo cáo cá nhân kết quả phân tích dạng PDF,Kiểm thử xuất dữ liệu,Kiểm thử Use Case 8a,Hồ sơ đã phân tích AI xong,1. Nhấn nút In / Xuất PDF; 2. Kiểm tra file tải về,Báo cáo cá nhân,Tải xuống file PDF gồm đầy đủ thông tin ứng viên và kết quả chấm điểm AI đẹp mắt,P2 - Trung bình
TC_UC07_019,[EX_01] Lọc không có kết quả phù hợp (Bộ lọc không thỏa mãn),Kiểm thử ngoại lệ,Kiểm thử Use Case EX_01 / Phân vùng tương đương_SK3,Tại bảng danh sách ứng viên,1. Nhập Kỹ năng = QuantumComputingLang_XYZ; 2. Bấm Áp dụng,Từ khóa không tồn tại,"Bảng rỗng, hiển thị thông báo: Không tìm thấy ứng viên phù hợp với tiêu chí đã chọn",P1 - Cao
TC_UC07_020,[EX_02] Bấm nút Phân tích AI nhưng chưa chọn JD,Kiểm thử xác thực / Ngoại lệ,Kiểm thử Use Case EX_02 / Phân vùng tương đương_JD2,"Chi tiết hồ sơ đang mở, ô chọn JD đang trống",1. Bấm nút Phân tích AI khi chưa chọn JD,Chưa chọn JD,"Báo lỗi: Vui lòng chọn JD (Mô tả công việc) để thực hiện so khớp, highlight dropdown JD",P1 - Cao
TC_UC07_021,[EX_02] Chọn nhanh JD ngay sau khi bị cảnh báo thiếu JD,Kiểm thử chức năng,Kiểm thử Use Case EX_02 Recovery,Dropdown JD đang highlight cảnh báo,1. Chọn 1 JD từ dropdown; 2. Bấm lại nút Phân tích AI,Chọn JD hợp lệ,"Thông báo lỗi biến mất, hệ thống bắt đầu tiến trình phân tích AI bình thường",P2 - Trung bình
TC_UC07_022,BVA Số năm kinh nghiệm: Giá trị cận biên dưới (1.9 năm),Kiểm thử biên,Phân tích giá trị biên,Bộ lọc: >= 2 năm; Ứng viên có 1.9 năm exp,1. Lọc >= 2 năm; 2. Kiểm tra danh sách,Exp: 1.9 năm,Ứng viên 1.9 năm kinh nghiệm không xuất hiện trong kết quả lọc,P2 - Trung bình
TC_UC07_023,BVA Số năm kinh nghiệm: Ngay tại biên chuẩn (2.0 năm),Kiểm thử biên,Phân tích giá trị biên,Bộ lọc: >= 2 năm; Ứng viên có đúng 2.0 năm exp,1. Lọc >= 2 năm; 2. Kiểm tra danh sách,Exp: 2.0 năm,Ứng viên 2.0 năm kinh nghiệm xuất hiện chính xác trong kết quả lọc,P1 - Cao
TC_UC07_024,BVA Matching Score: Điểm biên tuyệt đối 0%,Kiểm thử biên / Kết quả AI,Phân tích giá trị biên (0%),CV Kế toán viên so khớp JD AI Engineer,1. Bấm Phân tích AI; 2. Xem điểm số,CV lệch hoàn toàn JD,"Matching Score hiển thị 0%, Gap Analysis liệt kê toàn bộ kỹ năng của JD",P2 - Trung bình
TC_UC07_025,BVA Matching Score: Điểm biên tuyệt đối 100%,Kiểm thử biên / Kết quả AI,Phân tích giá trị biên (100%),CV khớp hoàn hảo mọi yêu cầu của JD,1. Bấm Phân tích AI; 2. Xem điểm số,CV chuẩn 100% JD,"Matching Score hiển thị 100%, Gap Analysis trống, Summary đánh giá hoàn toàn phù hợp",P2 - Trung bình
TC_UC07_026,BVA Phân trang: Tổng số hồ sơ đúng bằng kích thước 1 trang (10 hồ sơ),Kiểm thử biên,Phân tích giá trị biên (10 items),CSDL có đúng 10 hồ sơ,1. Vào danh sách ứng viên; 2. Quan sát phân trang,10 hồ sơ,"Hiển thị 10 hồ sơ trên trang 1, không có trang 2, nút Previous/Next đều disable",P3 - Thấp
TC_UC07_027,BVA Phân trang: Tổng số hồ sơ vượt biên 1 bản ghi (11 hồ sơ),Kiểm thử biên,Phân tích giá trị biên (11 items),CSDL có đúng 11 hồ sơ,1. Xem trang 1; 2. Bấm sang trang 2,11 hồ sơ,"Trang 1 có 10 hồ sơ, kích hoạt số trang 2; trang 2 có đúng 1 hồ sơ thứ 11",P2 - Trung bình
TC_UC07_028,Kiểm tra Tiền điều kiện: CSDL hoàn toàn chưa có hồ sơ nào (0 hồ sơ),Kiểm thử biên / Tiền điều kiện,Tiền điều kiện,Database rỗng chưa có hồ sơ,1. Truy cập Danh sách ứng viên,0 candidate in DB,"Không bị lỗi 500, hiển thị Empty State kèm thông báo mời thu thập hồ sơ mới",P2 - Trung bình
