Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật hộp đen áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC06_001,Quét thành công hồ sơ ứng viên trên LinkedIn,Kiểm thử chức năng,Kiểm thử Use Case,"Đã login Extension, mở đúng profile LinkedIn",1. Bấm Quét; 2. Chờ AI trích xuất; 3. Kiểm tra Form Preview; 4. Bấm Lưu hồ sơ,Profile LinkedIn đầy đủ,"AI quét DOM < 10s, Form điền đúng, Lưu thành công vào DB, Dashboard cập nhật",P1 - Cao
TC_UC06_002,Quét thành công hồ sơ ứng viên trên TopCV,Kiểm thử chức năng,Kiểm thử Use Case,"Đã login Extension, mở đúng trang hồ sơ TopCV",1. Bấm Quét; 2. Chờ AI trích xuất; 3. Kiểm tra Form Preview; 4. Bấm Lưu hồ sơ,Hồ sơ TopCV đầy đủ,"Form Preview hiển thị đúng thông tin, Lưu thành công vào CSDL",P1 - Cao
TC_UC06_003,Quét thành công hồ sơ ứng viên trên VietnamWorks,Kiểm thử chức năng,Kiểm thử Use Case,"Đã login Extension, mở đúng trang hồ sơ VietnamWorks",1. Bấm Quét; 2. Chờ AI trích xuất; 3. Kiểm tra Form Preview; 4. Bấm Lưu hồ sơ,Hồ sơ VietnamWorks,"Trích xuất chính xác, lưu vào CSDL thành công",P1 - Cao
TC_UC06_004,Quét trang web hồ sơ ứng viên bị khuyết thiếu thông tin,Kiểm thử chức năng / Biên,Phân vùng tương đương / Đoán lỗi,Trang LinkedIn ứng viên ẩn SĐT và Học vấn,1. Bấm Quét; 2. Xem Form Preview; 3. Nhập tay SĐT; 4. Bấm Lưu hồ sơ,"Profile ẩn SĐT, Học vấn","Không crash, trường thiếu để trống cho nhập bổ sung, lưu thành công",P2 - Trung bình
TC_UC06_005,Chỉnh sửa thông tin trên Form Xem trước trước khi Lưu,Kiểm thử chức năng,Kiểm thử Use Case,Form Preview đang mở với dữ liệu sẵn,1. Sửa trường Chức danh; 2. Xóa 1 kỹ năng sai; 3. Bấm Lưu hồ sơ,"Chức danh mới, kỹ năng mới","CSDL lưu trữ thông tin sau chỉnh sửa, không lưu dữ liệu cũ",P2 - Trung bình
TC_UC06_006,Người dùng hủy bỏ lưu hồ sơ tại Form Xem trước,Kiểm thử ca sai / Chức năng,Kiểm thử Use Case,Form Preview đang mở,1. Nhấn nút Hủy hoặc dấu (X); 2. Kiểm tra DB,N/A,"Form đóng lại, không tạo bản ghi mới trong DB",P3 - Thấp
TC_UC06_007,Nhấn nút Lưu hồ sơ liên tục nhiều lần,Kiểm thử hiệu năng / Biên,Đoán lỗi,Form Preview đang mở,1. Nhấn Lưu hồ sơ 3-4 lần liên tiếp thật nhanh,N/A,"Nút Lưu disable sau click đầu, chỉ gửi 1 request, tạo duy nhất 1 bản ghi",P2 - Trung bình
TC_UC06_008,Tải lên tệp CV định dạng PDF hợp lệ,Kiểm thử chức năng,Phân vùng tương đương_F1,"Đã login, chọn tab Upload CV",1. Chọn file CV_NguyenVanA.pdf (2.5MB); 2. Chờ OCR/LLM; 3. Kiểm tra Form; 4. Bấm Lưu,CV_NguyenVanA.pdf (2.5MB),"Upload thành công, OCR trích xuất đúng thực thể, lưu thành công vào CSDL",P1 - Cao
TC_UC06_009,Tải lên tệp CV định dạng Word (.docx / .doc) hợp lệ,Kiểm thử chức năng,Phân vùng tương đương_F2,Tại tab Upload CV,1. Chọn file CV_TranThiB.docx (1.8MB); 2. Chờ xử lý; 3. Kiểm tra Form; 4. Bấm Lưu,CV_TranThiB.docx (1.8MB),"File Word được đọc chuẩn xác, chuyển sang Preview Form, lưu thành công",P1 - Cao
TC_UC06_010,Tải lên tệp CV định dạng Ảnh (.png / .jpg) hợp lệ,Kiểm thử chức năng,Phân vùng tương đương_F3,Tại tab Upload CV,1. Chọn ảnh CV_Scan.png (3.2MB rõ nét); 2. Chờ OCR; 3. Kiểm tra Form; 4. Bấm Lưu,CV_Scan.png (3.2MB),"OCR nhận diện văn bản tốt từ ảnh, mapping đúng trường, lưu thành công",P1 - Cao
