Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật hộp đen áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC08_001,Khởi chạy kiểm chứng thành công khi hồ sơ có đầy đủ định danh,Kiểm thử chức năng,Kiểm thử Use Case,"Đã login, đang xem hồ sơ có Email, SĐT, Họ tên",1. Nhấn nút Kiểm chứng; 2. Quan sát trạng thái trên giao diện,Hồ sơ đầy đủ,"Nút chuyển sang trạng thái Đang kiểm tra... Đang kiểm tra..., kích hoạt Agent chạy ngầm",P1 - Cao
TC_UC08_002,Tự động tạo câu truy vấn tìm kiếm thông minh,Kiểm thử chức năng / Logic,Kiểm thử Use Case,"Hồ sơ có Họ tên, Email, Công ty, Trường học",1. Nhấn nút Kiểm chứng; 2. Kiểm tra log truy vấn của Agent,"Email, Tên, Cty, Trường","Agent sinh đúng cụm từ khóa kết hợp Tên + Công ty + Trường + Email, tránh nhầm người khác",P1 - Cao
TC_UC08_003,Quét thành công hồ sơ khi chỉ có Email (Thiếu SĐT),Kiểm thử chức năng / Biên,Phân vùng tương đương,"Hồ sơ có Họ tên và Email, SĐT bỏ trống",1. Nhấn nút Kiểm chứng,Chỉ có Email,Chấp nhận thực hiện quét ngầm bình thường dựa trên Email và Họ tên,P2 - Trung bình
TC_UC08_004,Đối chiếu thời gian làm việc hoàn toàn trùng khớp (0 tháng lệch),Kiểm thử chức năng,Phân tích giá trị biên (0 tháng),CV: VNG (01/2022-12/2024); LinkedIn: VNG (Jan 2022-Dec 2024),1. Xem kết quả đối chiếu thời gian,Khớp hoàn toàn,"Ghi nhận mốc thời gian làm việc trùng khớp 100%, không có cảnh báo sai lệch",P1 - Cao
TC_UC08_005,Phát hiện sai lệch thời gian kết thúc công việc (>= 6 tháng),Kiểm thử phát hiện sai lệch,Phân tích giá trị biên (6 tháng),CV ghi làm đến 12/2024; LinkedIn ghi nghỉ từ 06/2024,1. Xem Báo cáo kiểm chứng,Lệch 6 tháng,Hiển thị cảnh báo: Thời gian làm việc tại Công ty X trên LinkedIn kết thúc sớm hơn 6 tháng,P1 - Cao
TC_UC08_006,Đối chiếu năng lực và tech-stack trên GitHub với CV,Kiểm thử xác thực năng lực,Kiểm thử Use Case,"CV ghi chuyên gia Golang; GitHub chỉ có HTML/JS, 0 commit Golang",1. Xem Báo cáo đối chiếu năng lực,Kỹ năng Golang,Hiển thị cảnh báo: Chưa tìm thấy bằng chứng đóng góp mã nguồn cho kỹ năng Golang trên GitHub,P1 - Cao
TC_UC08_007,Hiển thị đầy đủ Báo cáo kết quả kiểm chứng,Kiểm thử chức năng / Giao diện,Kiểm thử Use Case,Agent quét và đối chiếu xong,1. Quan sát Báo cáo ghim vào hồ sơ ứng viên,Báo cáo sai lệch,"Hiển thị đầy đủ Social links, bảng đối chiếu thời gian, bảng đối chiếu kỹ năng và khối cảnh báo",P1 - Cao
TC_UC08_008,Chọn hành động Xác thực uy tín,Chuyển trạng thái,Chuyển trạng thái,"Báo cáo kiểm chứng chuẩn xác, không có sai lệch",1. Nhấn nút Xác thực uy tín; 2. Kiểm tra CSDL,Xác thực uy tín,"Cập nhật trạng thái thành Đã xác thực kèm tích xanh, lưu log kiểm tra, thông báo thành công",P1 - Cao
TC_UC08_009,Chọn hành động Gắn cờ rủi ro,Chuyển trạng thái,Chuyển trạng thái,Phát hiện sai lệch thời gian > 6 tháng,1. Nhấn nút Gắn cờ rủi ro; 2. Xác nhận,Gắn cờ rủi ro,"Trạng thái chuyển thành Có rủi ro kèm cờ đỏ, báo cáo sai lệch được ghim vĩnh viễn vào hồ sơ",P1 - Cao
TC_UC08_010,[3a] Thêm link LinkedIn thủ công khi Agent không tự tìm thấy,Kiểm thử luồng thay thế 3a,Kiểm thử Use Case 3a,Tại khối kiểm chứng hồ sơ,1. Bấm Thêm link thủ công; 2. Dán link LinkedIn; 3. Bấm Quét link,Link LinkedIn cá nhân,"Hệ thống gửi request quét link vừa dán, tự động đối chiếu và cập nhật vào Báo cáo",P2 - Trung bình
